time,open,high,low,close
1412121600,387.59414483,393.48629663,378.60456567,383.43214474
1412208000,382.63277884,384.52051218,370.98518181,373.32745264
1412294400,373.42310006,377.15061602,356.20169467,359.76274107
1412380800,359.3664994,365.74033617,323.09319067,327.7034812
1412467200,328.68486157,341.78967555,286.27949611,320.35747103
1412553600,320.50090368,345.5228597,301.45326761,328.67443826
1412640000,329.13365852,342.63933463,317.39056608,335.32089424
1412726400,335.29542205,355.38205457,326.1060862,353.25316075
1412812800,353.85522535,384.6004097,346.97217121,364.07073956
1412899200,363.68070044,375.7594822,352.13211001,360.34020756
1412985600,359.99078208,367.06041829,351.27245949,360.59065139
1413072000,360.94267113,377.94365551,352.14665328,375.71614822
1413158400,375.62541218,396.30941638,366.39977205,389.96000438
1413244800,390.40761718,411.55256904,389.47840016,399.14217604
1413331200,399.34081161,399.81913,387.35950268,392.37397691
1413417600,394.15566551,398.53658199,371.65737103,381.77011967
1413504000,381.71835448,384.06038725,372.53313298,381.60250287
1413590400,381.35288673,394.90962052,376.04116328,389.60718236
1413676800,389.83092986,393.34287366,384.2727078,386.5231446
1413763200,386.61279652,388.79973817,377.79811996,380.39502749
1413849600,380.64805389,390.41556191,377.70759126,383.03538861
1413936000,383.08850238,386.14480718,377.56245424,379.79362149
1414022400,379.78454435,383.08502374,354.7862508,357.19320069
1414108800,357.1270472,361.87607554,351.57420988,356.290684
1414195200,357.07965377,358.05038826,340.90156463,346.59503983
1414281600,346.48607798,358.30566086,343.22944438,352.14822712
1414368000,352.2533438,356.69848005,346.57576543,349.66958903
1414454400,349.97179587,355.97612496,348.62800535,352.1572443
1414540800,353.14670825,354.45397719,333.42381619,334.55185456
1414627200,334.66217022,349.93753434,333.08101102,343.40909401
1414713600,343.52490983,347.20959292,335.99743305,337.32628607
1414800000,337.71300606,338.96229666,319.41566668,325.28284455
1414886400,325.3116035,328.72035264,319.22819288,322.46312939
1414972800,322.05960918,332.7068593,321.71753414,324.96739162
1415059200,323.78632045,329.16132083,317.19325344,325.67719054
1415145600,326.36320197,342.18879334,325.78533658,336.87194155
1415232000,337.20288548,351.70516717,335.30181109,348.45582073
1415318400,348.87612131,351.54933514,339.92224485,340.57802093
1415404800,341.13400879,346.38434011,339.81147323,343.32482223
1415491200,343.20510073,362.57495104,340.76117278,361.62019289
1415577600,361.27846786,373.65545947,356.32692607,365.18546718
1415664000,365.27717825,370.48457457,361.48538396,366.67797345
1415750400,366.6278617,434.84818881,366.61562978,433.37163161
1415836800,435.3271902,473.53281846,391.17352829,423.10466756
1415923200,420.80707729,422.80282317,382.53528913,399.08051974
1416009600,399.25271003,406.84218608,368.3991443,373.15721202
1416096000,372.91113932,391.2592918,371.63000433,387.3847589
1416182400,387.81999342,410.03384157,376.60915091,386.46435157
1416268800,386.66677595,392.69985313,371.97237442,375.21330977
1416355200,374.51098619,387.14081061,373.88416683,379.72460893
1416441600,379.96600687,382.17300762,355.37613469,357.37761141
1416528000,357.26484428,357.5533578,342.93854377,350.69170786
1416614400,350.60052967,363.24917668,349.83543124,351.49399408
1416700800,351.42408906,369.63690751,350.90449113,366.16335779
1416787200,365.96011998,389.88935993,364.40767561,377.79680203
1416873600,377.96760746,397.42907393,374.47789773,376.62164999
1416960000,376.92310335,378.9239358,366.33731678,369.81193884
1417046400,370.35235949,375.38851557,367.67385861,369.88987692
1417132800,369.81275762,382.81220026,358.45918383,377.06239099
1417219200,376.90651969,387.9122065,372.67415102,376.0171501
1417305600,375.93804789,382.36652214,373.78390569,377.47896862
1417392000,377.15359453,383.8129349,376.14814499,380.40060485
1417478400,380.38302186,386.61361891,378.77686085,383.88986356
1417564800,383.9957443,386.40605658,374.50058778,377.03684076
1417651200,376.92159857,380.11663336,368.86709576,372.03055752
1417737600,372.00974254,379.5828081,367.17494267,377.66962711
1417824000,377.57056114,380.35766147,371.39599297,375.8051027
1417910400,375.94519037,377.49,372.48536277,375.36182021
1417996800,375.22731741,376.74888905,360.68953158,360.72520058
1418083200,360.72289399,362.99910543,341.96987946,351.5935529
1418169600,351.97885988,352.66715791,344.96297594,345.29130847
1418256000,344.96112146,362.68788235,337.2994869,349.02426923
1418342400,349.22628027,355.10355142,345.88780826,352.2967941
1418428800,352.36409728,352.5228252,344.62015756,347.65846678
1418515200,347.74167024,354.2112301,343.67364049,351.91601648
1418601600,352.55381183,352.69338428,344.36335717,345.89380751
1418688000,346.47759576,346.73310634,328.01994006,328.24294381
1418774400,327.87022482,335.54365073,315.52108543,319.87908968
1418860800,320.25597918,325.56325655,303.17455116,310.75826423
1418947200,310.99437664,318.08084839,305.74553313,316.73710072
1419033600,316.78349099,329.64841425,314.16353549,328.92318893
1419120000,328.88118219,328.88118219,319.01564254,321.60864445
1419206400,321.31308785,335.46457803,319.19730131,333.5716343
1419292800,333.20613817,338.55761421,330.0532631,336.11761316
1419379200,336.35485371,336.72108699,320.96705843,325.16529329
1419465600,324.40709485,325.68707438,316.50835253,319.37617217
1419552000,319.3156014,333.06631999,316.31109116,327.93551848
1419638400,327.69327852,329.69411664,312.2778865,315.83958902
1419724800,315.54776179,318.82790586,310.0437703,317.33791047
1419811200,317.64492637,320.69269865,312.09707912,312.18181808
1419897600,312.29669304,314.59119734,308.44093279,310.28374867
1419984000,310.22605267,319.43841104,308.83297823,319.33603908
1420070400,319.22605985,319.4338069,312.53803559,312.93389573
1420156800,312.97734202,316.00445658,312.39877265,313.6123271
1420243200,314.61919937,316.08856835,277.82629138,277.82629138
1420329600,277.55926096,285.44145323,255.95158284,262.64870363
1420416000,262.99877179,277.71162368,262.99877179,270.63204449
1420502400,272.11073881,288.72450486,270.32262681,283.93554902
1420588800,284.00057328,297.68525569,279.53182023,288.6484268
1420675200,291.69366025,296.92,278.88191927,280.80701792
1420761600,280.9778253,289.03099976,277.1785483,284.65106698
1420848000,287.00851718,288.21394778,269.7279656,272.82738817
1420934400,275.12298159,279.00491102,261.98887075,265.391073
1421020800,265.46139202,272.26309456,263.26229481,267.57281166
1421107200,267.50393515,268.66190207,217.82536692,223.98133209
1421193600,224.04931473,224.04931473,163.88333882,176.84175736
1421280000,176.50276368,226.04260376,174.66359597,209.12693389
1421366400,209.41539698,221.1255564,198.37056758,206.71030529
1421452800,206.59657279,211.05288879,192.226157,197.79746181
1421539200,198.05304749,219.26467487,191.28390417,209.99241232
1421625600,209.54693423,216.84149836,204.0650495,212.71065091
1421712000,212.50573139,213.93455074,203.4671231,209.87823838
1421798400,209.51980635,228.41103401,207.91994425,226.70493624
1421884800,226.87581989,237.13054062,225.32479108,232.44530052
1421971200,232.65184614,233.60307613,223.55813257,230.70996803
1422057600,230.7724915,248.40919965,227.82632386,246.30496832
1422144000,246.38938966,254.09885167,240.75321113,250.71452417
1422230400,251.26142773,308.04995118,250.8037318,271.54316393
1422316800,271.87210048,274.7697806,249.44199329,262.92196827
1422403200,262.6737976,267.13487903,228.57144068,234.61435747
1422489600,234.63346333,239.34704925,220.89591394,232.32872889
1422576000,232.80456084,243.12209065,223.94541869,226.73755529
1422662400,226.56510565,233.64575938,214.86863275,216.40911103
1422748800,215.86659077,232.62281508,210.80508788,227.00714342
1422835200,226.84871877,242.86550767,221.97748754,238.10744061
1422921600,238.02128313,247.24271408,224.00889988,227.37694082
1423008000,227.31404074,230.06115163,220.03691592,227.05010343
1423094400,227.32569348,228.37171308,213.89769728,216.20568779
1423180800,216.22569929,225.98373141,216.05388641,222.73538849
1423267200,222.75827861,231.02390967,220.7842075,227.9000471
1423353600,227.5417587,229.28300983,219.79442071,222.52937109
1423440000,222.67051516,224.52529409,217.05306107,220.01498717
1423526400,220.09503116,222.29253446,214.73202152,219.94284643
1423612800,219.97555947,223.99057472,217.82467934,219.42248718
1423699200,219.27598628,222.59122735,216.91596018,221.37571397
1423785600,221.19732383,240.83066895,219.47457773,235.62325657
1423872000,235.71575594,261.00306178,235.59727393,257.73540564
1423958400,257.79434247,267.37885674,227.41076259,234.84593848
1424044800,234.67158142,240.50719503,229.0020641,233.70811869
1424131200,233.5092197,246.23392981,232.07370213,243.05481958
1424217600,243.26965158,244.50709179,231.62485356,236.09031158
1424304000,236.05738785,243.38676616,234.57490291,239.75123597
1424390400,239.7313232,247.47412565,239.18337972,245.11960318
1424476800,243.77174854,247.62135888,241.11126195,244.57938585
1424563200,243.85058127,247.03969271,233.68556472,235.99892206
1424649600,235.94915368,239.90950172,231.26086174,238.9521627
1424736000,238.89591925,240.53291547,236.1208917,238.10010041
